Category,Biomarker/Topic,Finding,Reference Range/Value,Source,PMID/DOI,Database,Year,Peer Reviewed,Notes
Metabolic,Fasting Glucose,Normal range,70-99 mg/dL,American Diabetes Association,37995379,PubMed,2024,Yes,ADA Standards of Care 2024
Metabolic,Fasting Glucose,Prediabetes threshold,100-125 mg/dL,American Diabetes Association,37995379,PubMed,2024,Yes,Impaired fasting glucose
Metabolic,Fasting Glucose,Diabetes threshold,≥126 mg/dL,American Diabetes Association,37995379,PubMed,2024,Yes,Requires confirmation
Metabolic,HbA1c,Normal range,4.0-5.6%,American Diabetes Association,37995379,PubMed,2024,Yes,Non-fasting test
Metabolic,HbA1c,Prediabetes range,5.7-6.4%,American Diabetes Association,37995379,PubMed,2024,Yes,High risk for progression
Metabolic,HbA1c,Diabetes threshold,≥6.5%,American Diabetes Association,37995379,PubMed,2024,Yes,Diagnostic criterion
Metabolic,HbA1c,Treatment target (general),<7.0%,American Diabetes Association,37995379,PubMed,2024,Yes,Most non-pregnant adults
Metabolic,HbA1c,Treatment target (stringent),<6.5%,American Diabetes Association,37995379,PubMed,2024,Yes,If achievable without hypoglycemia
Metabolic,HOMA-IR,Normal,<2.0,Matthews et al.,6376781,PubMed,1985,Yes,Homeostatic Model Assessment
Metabolic,HOMA-IR,Insulin resistance,≥2.5,Multiple validation studies,N/A,Clinical consensus,Various,Yes,Cutoff varies by population
Metabolic,TG/HDL Ratio,Insulin resistance marker,>3.0,McLaughlin et al.,14679177,PubMed,2003,Yes,Simple surrogate for IR
Lipid,Total Cholesterol,Desirable,<200 mg/dL,ATP IV Guidelines,24239923,PubMed,2013,Yes,ACC/AHA guidelines
Lipid,Total Cholesterol,Borderline high,200-239 mg/dL,ATP IV Guidelines,24239923,PubMed,2013,Yes,
Lipid,Total Cholesterol,High,≥240 mg/dL,ATP IV Guidelines,24239923,PubMed,2013,Yes,
Lipid,LDL Cholesterol,Optimal,<100 mg/dL,ATP IV Guidelines,24239923,PubMed,2013,Yes,
Lipid,LDL Cholesterol,Near optimal,100-129 mg/dL,ATP IV Guidelines,24239923,PubMed,2013,Yes,
Lipid,LDL Cholesterol,Borderline high,130-159 mg/dL,ATP IV Guidelines,24239923,PubMed,2013,Yes,
Lipid,LDL Cholesterol,High,160-189 mg/dL,ATP IV Guidelines,24239923,PubMed,2013,Yes,
